Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution;Recommandation de surveillance;stop_lon;stop_lat;pollution_air
IDFM:22123;Anvers;Métro 2;MOYENNE;non;2.34415484033029;48.8828685688439;pollution moyenne - incertitude forte
IDFM:463123;Assemblée Nationale;Métro 12;MOYENNE;non;2.32068967969443;48.8611220500808;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:45873;Auber;RER A;MOYENNE;non;2.32965914957936;48.8723488407182;pollution moyenne - incertitude faible
IDFM:463031;Aubervilliers-Pantin Quatre Chemins;Métro 7;MOYENNE;non;2.39222057122922;48.9037570603656;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:44493;Bagneux;RER B;station aérienne;non;2.32200870474216;48.7933369062715;station aérienne
IDFM:463094;Barbès - Rochechouart;Métro 2;station aérienne;non;2.35057340088851;48.8838523498619;station aérienne
IDFM:22097;Bastille;Métro 8;MOYENNE;non;2.3695064282002;48.8534254616933;pollution moyenne - incertitude forte
IDFM:22014;Bobigny-Pantin - Raymond Queneau;Métro 5;MOYENNE;non;2.42630867923204;48.8956020743325;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43092;Boigneville;RER D;station aérienne;non;2.37861844041654;48.3412086325076;station aérienne
IDFM:22188;Boucicaut;Métro 8;FAIBLE;non;2.28791843112456;48.8410241609932;pollution faible - incertitude forte
IDFM:monomodalStopPlace:43097;Bourg-la-Reine;RER B;station aérienne;non;2.31227831183431;48.7802643688424;station aérienne
IDFM:22008;Bréguet-Sabin;Métro 5;MOYENNE;non;2.37019466858975;48.8562440546863;pollution moyenne - incertitude forte
IDFM:22231;Brochant;Métro 13;FAIBLE;non;2.32019024689995;48.8906220155489;pollution faible - incertitude forte
IDFM:monomodalStopPlace:58874;Bussy-Saint-Georges;RER A;FAIBLE;non;2.7103828395097;48.8367133707814;pollution faible - incertitude forte
IDFM:463039;Buzenval;Métro 9;MOYENNE;non;2.40117076936841;48.8517624398323;pollution moyenne - incertitude forte
IDFM:monomodalStopPlace:43105;Cernay;RER C;station aérienne;non;2.25701785790782;48.9851492002004;station aérienne
IDFM:monomodalStopPlace:58757;Champ de Mars Tour Eiffel;RER C;MOYENNE;non;2.28965624938655;48.8564765666592;pollution moyenne - incertitude faible
IDFM:22093;Champs-Elysées - Clemenceau;Métro 13;FAIBLE;non;2.31401668387612;48.8675008375908;pollution faible - incertitude forte
