"station1","station2","connected"
"La Défense - Grande Arche","La Défense - Grande Arche",FALSE
"Esplanade de la Défense","La Défense - Grande Arche",TRUE
"Pont de Neuilly","La Défense - Grande Arche",FALSE
"Les Sablons","La Défense - Grande Arche",FALSE
"Porte Maillot","La Défense - Grande Arche",FALSE
"Argentine","La Défense - Grande Arche",FALSE
"Charles de Gaulle - Étoile","La Défense - Grande Arche",FALSE
"George V","La Défense - Grande Arche",FALSE
"Franklin D. Roosevelt","La Défense - Grande Arche",FALSE
"Champs-Élysées - Clemenceau","La Défense - Grande Arche",FALSE
"Concorde","La Défense - Grande Arche",FALSE
"Tuileries","La Défense - Grande Arche",FALSE
"Palais Royal - Musée du Louvre","La Défense - Grande Arche",FALSE
"Louvre - Rivoli","La Défense - Grande Arche",FALSE
"Châtelet","La Défense - Grande Arche",FALSE
"Hôtel de Ville","La Défense - Grande Arche",FALSE
"Saint-Paul","La Défense - Grande Arche",FALSE
"Bastille","La Défense - Grande Arche",FALSE
"Gare de Lyon","La Défense - Grande Arche",FALSE
"Reuilly - Diderot","La Défense - Grande Arche",FALSE
"Nation","La Défense - Grande Arche",FALSE
"Porte de Vincennes","La Défense - Grande Arche",FALSE
"Saint-Mandé","La Défense - Grande Arche",FALSE
"Bérault","La Défense - Grande Arche",FALSE
"Château de Vincennes","La Défense - Grande Arche",FALSE
"Porte Dauphine","La Défense - Grande Arche",FALSE
"Victor Hugo","La Défense - Grande Arche",FALSE
"Ternes","La Défense - Grande Arche",FALSE
"Courcelles","La Défense - Grande Arche",FALSE
"Monceau","La Défense - Grande Arche",FALSE
"Villiers","La Défense - Grande Arche",FALSE
"Rome","La Défense - Grande Arche",FALSE
"Place de Clichy","La Défense - Grande Arche",FALSE
"Blanche","La Défense - Grande Arche",FALSE
"Pigalle","La Défense - Grande Arche",FALSE
"Anvers","La Défense - Grande Arche",FALSE
"Barbès - Rochechouart","La Défense - Grande Arche",FALSE
"La Chapelle","La Défense - Grande Arche",FALSE
"Stalingrad","La Défense - Grande Arche",FALSE
"Jaurès","La Défense - Grande Arche",FALSE
"Colonel Fabien","La Défense - Grande Arche",FALSE
"Belleville","La Défense - Grande Arche",FALSE
"Couronnes","La Défense - Grande Arche",FALSE
"Ménilmontant","La Défense - Grande Arche",FALSE
"Rue Saint-Maur","La Défense - Grande Arche",FALSE
"Parmentier","La Défense - Grande Arche",FALSE
"Richard-Lenoir","La Défense - Grande Arche",FALSE
"Bréguet - Sabin","La Défense - Grande Arche",FALSE
"Chemin Vert","La Défense - Grande Arche",FALSE
"Saint-Ambroise","La Défense - Grande Arche",FALSE
"Voltaire","La Défense - Grande Arche",FALSE
"Charonne","La Défense - Grande Arche",FALSE
"Philippe Auguste","La Défense - Grande Arche",FALSE
"Alexandre Dumas","La Défense - Grande Arche",FALSE
"Avron","La Défense - Grande Arche",FALSE
"Pont de Levallois - Bécon","La Défense - Grande Arche",FALSE
"Anatole France","La Défense - Grande Arche",FALSE
"Louise Michel","La Défense - Grande Arche",FALSE
"Porte de Champerret","La Défense - Grande Arche",FALSE
"Pereire","La Défense - Grande Arche",FALSE
"Wagram","La Défense - Grande Arche",FALSE
"Malesherbes","La Défense - Grande Arche",FALSE
"Europe","La Défense - Grande Arche",FALSE
"Saint-Lazare","La Défense - Grande Arche",FALSE
"Havre - Caumartin","La Défense - Grande Arche",FALSE
"Opéra","La Défense - Grande Arche",FALSE
"Quatre Septembre","La Défense - Grande Arche",FALSE
"Bourse","La Défense - Grande Arche",FALSE
"Sentier","La Défense - Grande Arche",FALSE
"Réaumur - Sébastopol","La Défense - Grande Arche",FALSE
"Arts et Métiers","La Défense - Grande Arche",FALSE
"Temple","La Défense - Grande Arche",FALSE
"République","La Défense - Grande Arche",FALSE
